date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT,WEEK_NUMBER,INFLUENZA A,INFLUENZA B,INFLUENZA A AND B,UNKNOWN
9/29/03 0:00,0.884021,0.960873,808,881,2442,830,254144,2003-40,0,0,0,0
10/6/03 0:00,1.02773,1.04325,913,1132,2932,931,281045,2003-41,1,0,0,0
10/13/03 0:00,1.28296,1.0545,878,1147,3031,974,287436,2003-42,0,0,0,0
10/20/03 0:00,1.32661,1.11231,1006,1369,3475,1007,312412,2003-43,0,0,0,0
10/27/03 0:00,1.77304,1.41274,1207,2080,4690,1074,331980,2003-44,3,0,0,0
11/3/03 0:00,2.43814,1.72703,1542,2735,5790,1111,335258,2003-45,11,0,0,1
11/10/03 0:00,2.72605,2.407,2185,4133,8385,1141,348359,2003-46,39,0,0,5
11/17/03 0:00,3.73192,3.10962,2561,5684,11141,1129,358275,2003-47,79,0,0,11
11/24/03 0:00,4.54894,4.30779,3247,4933,11742,1118,272576,2003-48,101,1,0,14
12/1/03 0:00,5.39906,4.8303,4734,7817,18948,1189,392274,2003-49,123,1,0,35
12/8/03 0:00,7.38735,6.42905,6620,11550,24962,1173,388269,2003-50,137,1,0,47
12/15/03 0:00,7.48097,6.86734,6434,9851,23699,1148,345097,2003-51,157,1,0,73
12/22/03 0:00,7.62797,7.06496,5336,5231,16415,1122,232344,2003-52,145,0,0,40
12/29/03 0:00,5.14051,4.55115,3391,2894,11332,1139,248992,2004-1,43,0,0,11
1/5/04 0:00,2.89129,2.41833,1930,2299,7602,1160,314349,2004-2,30,1,0,16
1/12/04 0:00,2.10429,1.80906,1679,1857,5583,1141,308614,2004-3,14,0,0,11
1/19/04 0:00,1.88696,1.71202,1721,1604,4961,1084,289774,2004-4,4,0,0,3
1/26/04 0:00,1.7766,1.5425,1487,1543,4436,1071,287586,2004-5,4,0,0,4
2/2/04 0:00,1.46001,1.43787,1454,1448,4251,1054,295646,2004-6,3,0,0,0
2/9/04 0:00,1.37787,1.32427,1420,1297,3824,986,288762,2004-7,1,0,0,1
2/16/04 0:00,1.30532,1.30726,1301,1255,3691,1004,282347,2004-8,2,0,0,1
2/23/04 0:00,1.08691,1.03698,956,1038,2916,948,281202,2004-9,0,0,0,0
3/1/04 0:00,0.991888,1.01032,925,910,2744,894,271597,2004-10,1,0,0,2
3/8/04 0:00,1.02765,1.05249,878,888,2708,897,257294,2004-11,0,0,0,1
3/15/04 0:00,1.0579,1.02009,730,826,2487,849,243802,2004-12,0,0,0,0
3/22/04 0:00,0.849361,0.924419,760,733,2300,859,248805,2004-13,1,0,0,0
3/29/04 0:00,0.747127,0.790645,610,611,1858,828,234998,2004-14,0,0,0,0
4/5/04 0:00,0.661708,0.80261,583,566,1705,774,212432,2004-15,0,0,0,0
4/12/04 0:00,0.679514,0.83613,545,573,1749,755,209178,2004-16,0,0,0,0
4/19/04 0:00,0.633071,0.792436,501,511,1615,679,203802,2004-17,0,0,0,0
9/27/04 0:00,0.782758,0.971643,333,382,1116,364,114857,2004-40,0,0,0,0
10/4/04 0:00,0.982275,0.897159,877,1256,3171,1176,353449,2004-41,0,1,0,0
10/11/04 0:00,1.01821,1.02248,1071,1373,3631,1187,355116,2004-42,0,0,0,0
10/18/04 0:00,1.1768,1.06296,1240,1534,4019,1267,378094,2004-43,0,0,0,0
10/25/04 0:00,1.30121,1.14696,1190,1671,4369,1293,380921,2004-44,0,0,0,0
11/1/04 0:00,1.27746,1.20495,1327,1718,4551,1302,377692,2004-45,0,1,0,0
11/8/04 0:00,1.40387,1.30517,1497,1874,4969,1344,380718,2004-46,6,0,0,0
11/15/04 0:00,1.40301,1.28699,1531,1874,4983,1336,387182,2004-47,1,0,0,0
11/22/04 0:00,1.73975,1.59468,1490,1678,4713,1341,295546,2004-48,0,1,0,0
11/29/04 0:00,1.56894,1.39714,1538,2059,5407,1369,387004,2004-49,0,3,0,0
12/6/04 0:00,1.65927,1.44996,1551,2052,5428,1346,374356,2004-50,5,2,0,0
12/13/04 0:00,1.81341,1.61745,1670,2071,5755,1379,355806,2004-51,9,1,0,0
12/20/04 0:00,2.37626,2.19112,1856,1807,5689,1288,259639,2004-52,22,2,0,1
1/3/05 0:00,2.40064,2.17645,2010,2450,8041,1383,369455,2005-1,24,6,0,2
1/10/05 0:00,2.54155,2.20171,2188,2982,8323,1342,378024,2005-2,25,9,0,0
1/17/05 0:00,2.85871,2.53012,2199,3682,9328,1348,368678,2005-3,44,7,0,1
1/24/05 0:00,3.55011,3.06524,2747,5364,12422,1334,405254,2005-4,39,8,0,4
1/31/05 0:00,4.58591,3.98061,3086,7650,16192,1303,406772,2005-5,44,12,0,2
2/7/05 0:00,5.05809,4.59568,3626,8854,19369,1324,421461,2005-6,47,9,0,3
2/14/05 0:00,5.44151,4.75197,3834,8400,19931,1330,419426,2005-7,32,10,0,16
2/21/05 0:00,4.4729,4.17962,3720,6759,16630,1280,397883,2005-8,23,16,0,15
2/28/05 0:00,3.6752,3.45359,2997,5343,13234,1268,383196,2005-9,21,14,0,8
3/7/05 0:00,3.3353,3.15852,2728,4494,11601,1227,367292,2005-10,17,13,0,3
3/14/05 0:00,2.76224,2.6732,2416,3513,9502,1185,355454,2005-11,12,10,0,0
3/21/05 0:00,2.46844,2.35161,2145,2771,7900,1148,335940,2005-12,10,13,0,2
3/28/05 0:00,2.00081,1.89243,1827,2133,6329,1103,334438,2005-13,9,9,0,0
4/4/05 0:00,1.54319,1.5249,1422,1737,4816,1048,315823,2005-14,5,4,0,0
4/11/05 0:00,1.50195,1.41134,1356,1603,4445,1000,314948,2005-15,2,4,0,0
4/18/05 0:00,1.22918,1.25068,1096,1469,3825,978,305833,2005-16,1,0,0,0
4/25/05 0:00,1.21854,1.20702,1117,1411,3646,971,302065,2005-17,3,2,0,0
10/3/05 0:00,1.17778,1.07635,1172,1256,3586,1113,333164,2005-40,2,0,0,0
10/10/05 0:00,1.21947,1.05869,1285,1247,3582,1160,338343,2005-41,2,0,0,0
10/17/05 0:00,1.3069,1.11523,1393,1525,4122,1216,369609,2005-42,0,1,0,0
